current	next	wind	temp	tianqi	紫外线指数	旅游指数	穿衣指数	晾晒指数	舒适度指数	晨练指数
20180308	20180309	东南风 1级	"['15℃', '1℃']"	晴	中等	适宜	较冷	适宜	较冷	适宜
20180309	20180310	北风 微风	"['16℃', '4℃']"	晴	弱	适宜	较冷	适宜	较冷	适宜
20180310	20180311	西北风 微风	"['19℃', '7℃']"	多云	中等	适宜	较舒适	适宜	较舒适	适宜
20180311	20180312	北风 3级	"['20℃', '6℃']"	晴	中等	适宜	较舒适	适宜	较舒适	适宜
20180312	20180313	北风 微风	"['23℃', '6℃']"	晴	弱	适宜	较舒适	适宜	较舒适	适宜
20180313	20180314	北风 微风	"['24℃', '6℃']"	多云	弱	适宜	舒适	适宜	舒适	适宜
20180314	20180315	东北风 微风	"['25℃', '8℃']"	晴	中等	适宜	较舒适	适宜	较舒适	较不宜
20180315	20180316	西北风 1级	"['23℃', '10℃']"	晴	弱	适宜	较冷	较不宜	较冷	不宜
20180316	20180317	西南风 2级	"['17℃', '6℃']"	阴	很弱	适宜	较冷	不适宜	较冷	较不宜
20180317	20180318	北风 1级	"['8℃', '5℃']"	小雨	很弱	适宜	较冷	较不宜	较冷	较不宜
20180318	20180319	西北风 1级	"['7℃', '5℃']"	阴	很弱	适宜	较冷	不适宜	较冷	较不宜
20180319	20180320	西风 微风	"['15℃', '6℃']"	阴	很弱	适宜	较冷	不适宜	较冷	较不宜
20180320	20180321	北风 微风	"['14℃', '4℃']"	多云	中等	适宜	较舒适	适宜	较舒适	较不宜
20180321	20180322	南风 1级	"['19℃', '4℃']"	晴	中等	适宜	较舒适	适宜	较舒适	适宜
20180322	20180323	北风 1级	"['22℃', '5℃']"	晴	弱	适宜	较舒适	适宜	较舒适	适宜
20180323	20180324	北风 1级	"['23℃', '9℃']"	多云	中等	适宜	较舒适	适宜	较舒适	适宜
20180324	20180325	北风 微风	"['23℃', '9℃']"	多云	弱	适宜	较舒适	适宜	较舒适	适宜
20180325	20180326	北风 微风	"['22℃', '11℃']"	多云	很弱	适宜	舒适	较不宜	舒适	较不宜
20180326	20180327	南风 2级	"['25℃', '10℃']"	多云	弱	适宜	热	适宜	很不舒适	适宜
20180327	20180328	东南风 1级	"['29℃', '12℃']"	多云	弱	适宜	热	较不宜	很不舒适	较适宜
20180328	20180329	南风 微风	"['30℃', '13℃']"	多云	中等	适宜	舒适	适宜	舒适	不宜
20180329	20180330	南风 2级	"['28℃', '14℃']"	多云	中等	适宜	舒适	适宜	舒适	较不宜
20180330	20180331	南风 1级	"['27℃', '12℃']"	多云	弱	适宜	舒适	适宜	舒适	较不宜
20180331	20180401	南风 1级	"['26℃', '14℃']"	阴	强	适宜	热	适宜	很不舒适	适宜
20180401	20180402	东北风 微风	"['30℃', '11℃']"	晴	很强	适宜	热	适宜	很不舒适	适宜
20180402	20180403	北风 微风	"['31℃', '13℃']"	晴	很强	适宜	热	适宜	很不舒适	适宜
20180403	20180404	东北风 1级	"['31℃', '12℃']"	晴	弱	适宜	舒适	适宜	舒适	较不宜
20180404	20180405	北风 2级	"['23℃', '9℃']"	多云	很弱	适宜	较舒适	适宜	较舒适	适宜
20180405	20180406	西南风 1级	"['20℃', '7℃']"	多云	中等	适宜	较冷	适宜	较冷	较不宜
20180406	20180407	东风 微风	"['16℃', '2℃']"	晴	中等	适宜	较舒适	适宜	较舒适	较适宜
20180407	20180408	南风 微风	"['21℃', '5℃']"	晴	强	适宜	舒适	适宜	舒适	适宜
20180408	20180409	东北风 微风	"['29℃', '7℃']"	晴	强	适宜	热	适宜	很不舒适	适宜
20180409	20180410	南风 2级	"['29℃', '13℃']"	晴	中等	适宜	热	适宜	很不舒适	适宜
20180410	20180411	东风 微风	"['30℃', '10℃']"	多云	很弱	适宜	舒适	较不宜	舒适	较适宜
20180411	20180412	西南风 1级	"['27℃', '15℃']"	阴	很弱	适宜	舒适	较不宜	舒适	较适宜
20180412	20180413	东南风 1级	"['16℃', '10℃']"	小雨	很弱	适宜	较冷	不适宜	较冷	较不宜
20180413	20180414	南风 1级	"['13℃', '9℃']"	小雨	很弱	适宜	较舒适	较不宜	较舒适	较适宜
20180414	20180415	西南风 1级	"['19℃', '5℃']"	多云	弱	适宜	较舒适	适宜	较舒适	适宜
20180415	20180416	西南风 1级	"['20℃', '6℃']"	多云	中等	适宜	舒适	适宜	舒适	适宜
20180416	20180417	东南风 1级	"['25℃', '7℃']"	晴	强	适宜	舒适	适宜	舒适	适宜
20180417	20180418	东风 微风	"['29℃', '11℃']"	晴	强	适宜	热	适宜	很不舒适	较适宜
20180418	20180419	西北风 1级	"['32℃', '15℃']"	晴	中等	适宜	热	适宜	很不舒适	较适宜
20180419	20180420	东南风 2级	"['32℃', '18℃']"	多云	很弱	适宜	舒适	不适宜	舒适	较不宜
20180420	20180421	东南风 1级	"['26℃', '13℃']"	中雨	弱	适宜	热	适宜	很不舒适	适宜
20180421	20180422	西南风 1级	"['28℃', '14℃']"	多云	弱	适宜	舒适	适宜	舒适	较适宜
20180422	20180423	东北风 1级	"['26℃', '14℃']"	阵雨	很弱	适宜	较舒适	较不宜	较舒适	较适宜
20180423	20180424	北风 1级	"['22℃', '14℃']"	阴	弱	适宜	较冷	较不宜	较冷	较不宜
20180424	20180425	南风 1级	"['18℃', '12℃']"	小雨	很弱	适宜	较舒适	不适宜	较舒适	较不宜
20180425	20180426	西南风 微风	"['19℃', '9℃']"	小雨	弱	适宜	舒适	适宜	舒适	适宜
20180426	20180427	北风 1级	"['27℃', '10℃']"	多云	中等	适宜	热	适宜	很不舒适	较适宜
20180427	20180428	东南风 微风	"['30℃', '13℃']"	阴	很弱	适宜	舒适	不适宜	舒适	较不宜
20180428	20180429	南风 2级	"['26℃', '14℃']"	多云	强	适宜	热	适宜	很不舒适	较适宜
20180429	20180430	东南风 微风	"['32℃', '12℃']"	晴	弱	适宜	热	适宜	很不舒适	适宜
20180430	20180501	东风 1级	"['28℃', '16℃']"	阴	弱	适宜	热	较不宜	很不舒适	较适宜
20180501	20180502	东风 1级	"['30℃', '13℃']"	多云	很弱	适宜	舒适	较不宜	舒适	较适宜
20180502	20180503	东风 1级	"['27℃', '10℃']"	多云	弱	适宜	热	适宜	很不舒适	较适宜
20180503	20180504	北风 1级	"['30℃', '16℃']"	阴	弱	适宜	热	适宜	很不舒适	适宜
20180504	20180505	东风 1级	"['25℃', '16℃']"	阴	弱	适宜	热	不适宜	很不舒适	较不宜
20180505	20180506	东南风 1级	"['26℃', '14℃']"	小雨	很弱	适宜	较舒适	不适宜	较舒适	较不宜
20180506	20180507	西南风 1级	"['18℃', '10℃']"	小雨	弱	适宜	较舒适	适宜	较舒适	适宜
20180507	20180508	西南风 1级	"['24℃', '12℃']"	多云	弱	适宜	舒适	适宜	舒适	较不宜
20180508	20180509	西北风 1级	"['25℃', '15℃']"	阴	很弱	适宜	较舒适	较不宜	较舒适	较适宜
20180509	20180510	东北风 1级	"['24℃', '15℃']"	小雨	很弱	适宜	较舒适	不适宜	较舒适	较不宜
20180510	20180511	西南风 1级	"['22℃', '15℃']"	小雨	很弱	适宜	较舒适	适宜	较舒适	适宜
20180511	20180512	东北风 微风	"['24℃', '13℃']"	多云	弱	适宜	热	适宜	很不舒适	适宜
20180512	20180513	东南风 微风	"['24℃', '11℃']"	多云	很强	适宜	热	适宜	很不舒适	适宜
20180513	20180514	西北风 1级	"['33℃', '17℃']"	晴	强	适宜	炎热	适宜	较不舒适	适宜
20180514	20180515	南风 1级	"['31℃', '20℃']"	多云	中等	适宜	热	较不宜	很不舒适	较不宜
20180515	20180516	东南风 1级 	"['34℃', '20℃']"	多云	很强	适宜	炎热	适宜	较不舒适	适宜
20180516	20180517	北风 1级 	"['35℃', '21℃']"	晴	弱	较不适宜	炎热	较不宜	较不舒适	较适宜
20180517	20180518	东风 微风 	"['32℃', '19℃']"	阴	弱	较不适宜	舒适	较不宜	舒适	较不宜
20180518	20180519	东北风 1级 	"['30℃', '19℃']"	小雨	很弱	不适宜	舒适	不适宜	舒适	较不宜
20180519	20180520	西北风 微风 	"['27℃', '18℃']"	阵雨	很弱	较不适宜	较舒适	较不宜	较舒适	较不宜
20180520	20180521	西北风 2级 	"['24℃', '15℃']"	阴	很弱	不适宜	较舒适	不适宜	较舒适	不宜
20180521	20180522	北风 2级 	"['23℃', '13℃']"	中雨	弱	不适宜	舒适	适宜	舒适	较适宜
20180522	20180523	东南风 1级 	"['26℃', '11℃']"	多云	中等	适宜	舒适	适宜	舒适	适宜
20180523	20180524	西风 微风 	"['26℃', '14℃']"	多云	很弱	较不适宜	舒适	较不宜	舒适	较适宜
20180524	20180525	东风 1级 	"['25℃', '15℃']"	多云	弱	不适宜	热	适宜	很不舒适	适宜
20180525	20180526	西北风 1级 	"['30℃', '19℃']"	多云	很弱	较不适宜	较舒适	不适宜	较舒适	较不宜
20180526	20180527	东南风 1级 	"['24℃', '13℃']"	阵雨	弱	较适宜	热	适宜	很不舒适	适宜
20180527	20180528	东南风 1级 	"['28℃', '13℃']"	阴	弱	较不适宜	热	较不宜	很不舒适	较适宜
20180528	20180529	南风 1级 	"['31℃', '14℃']"	多云	弱	较不适宜	热	较不宜	很不舒适	较适宜
20180529	20180530	北风 微风 	"['30℃', '13℃']"	阴	弱	较不适宜	热	适宜	很不舒适	适宜
20180530	20180531	东南风 1级 	"['29℃', '15℃']"	多云	中等	较适宜	炎热	适宜	较不舒适	较适宜
20180531	20180601	北风 1级 	"['33℃', '18℃']"	多云	中等	较适宜	热	适宜	很不舒适	较适宜
20180601	20180602	南风 1级 	"['30℃', '16℃']"	多云	弱	较不适宜	热	适宜	很不舒适	适宜
20180602	20180603	北风 微风 	"['31℃', '16℃']"	多云	弱	较适宜	热	较不宜	很不舒适	较适宜
20180603	20180604	东风 1级 	"['31℃', '17℃']"	多云	弱	较不适宜	炎热	适宜	较不舒适	适宜
20180604	20180605	东风 1级 	"['30℃', '14℃']"	多云	很强	适宜	炎热	适宜	较不舒适	适宜
20180605	20180606	东北风 微风 	"['36℃', '18℃']"	晴	很强	适宜	炎热	适宜	较不舒适	适宜
20180606	20180607	东风 1级 	"['38℃', '22℃']"	多云	弱	较不适宜	炎热	适宜	较不舒适	较不宜
20180607	20180608	东南风 1级 	"['33℃', '19℃']"	多云	很弱	不适宜	较舒适	不适宜	较舒适	较不宜
20180608	20180609	西南风 1级 	"['22℃', '13℃']"	小雨	中等	较适宜	热	适宜	很不舒适	较适宜
20180609	20180610	东南风 1级 	"['30℃', '15℃']"	多云	很强	适宜	炎热	适宜	较不舒适	适宜
20180610	20180611	东风 微风 	"['34℃', '16℃']"	晴	中等	适宜	炎热	适宜	较不舒适	较适宜
20180611	20180612	东南风 1级 	"['36℃', '20℃']"	多云	很强	适宜	炎热	适宜	较不舒适	适宜
20180612	20180613	东南风 1级 	"['37℃', '20℃']"	晴	弱	较不适宜	炎热	适宜	较不舒适	适宜
20180613	20180614	东北风 微风 	"['39℃', '21℃']"	多云	中等	适宜	炎热	适宜	较不舒适	适宜
20180614	20180615	南风 1级 	"['37℃', '21℃']"	多云	弱	较不适宜	炎热	较不宜	较不舒适	较适宜
20180615	20180616	东南风 1级 	"['35℃', '22℃']"	阴	很弱	较不适宜	舒适	不适宜	舒适	较不宜
20180616	20180617	北风 1级 	"['28℃', '22℃']"	小雨	弱	较不适宜	热	较不宜	很不舒适	较不宜
20180617	20180618	南风 2级 	"['31℃', '21℃']"	阴	很弱	不适宜	较舒适	不适宜	较舒适	较不宜
20180618	20180619	西北风 2级 	"['26℃', '21℃']"	小雨	中等	较适宜	炎热	适宜	较不舒适	适宜
20180619	20180620	东南风 1级 	"['31℃', '20℃']"	多云	强	较适宜	炎热	适宜	较不舒适	较适宜
20180620	20180621	东南风 1级 	"['34℃', '20℃']"	多云	弱	较适宜	炎热	较不宜	较不舒适	较适宜
20180621	20180622	南风 1级 	"['33℃', '20℃']"	多云	很强	适宜	炎热	适宜	较不舒适	适宜
20180622	20180623	东南风 1级 	"['34℃', '22℃']"	晴	中等	适宜	炎热	适宜	较不舒适	较适宜
20180623	20180624	西风 微风 	"['35℃', '23℃']"	多云	中等	适宜	炎热	适宜	较不舒适	适宜
20180624	20180625	西北风 1级 	"['35℃', '24℃']"	阴	弱	较不适宜	炎热	较不宜	较不舒适	较适宜
20180625	20180626	南风 1级 	"['33℃', '22℃']"	小雨	弱	不适宜	热	不适宜	很不舒适	较不宜
20180626	20180627	西北风 1级 	"['30℃', '23℃']"	中雨	弱	不适宜	炎热	适宜	较不舒适	适宜
20180627	20180628	西南风 1级 	"['33℃', '23℃']"	阵雨	中等	适宜	炎热	适宜	较不舒适	适宜
20180628	20180629	东北风 微风 	"['34℃', '23℃']"	多云	弱	较不适宜	炎热	较不宜	较不舒适	较适宜
20180629	20180630	西北风 1级 	"['34℃', '24℃']"	小雨	弱	不适宜	炎热	不适宜	较不舒适	较不宜
20180630	20180701	南风 2级 	"['33℃', '22℃']"	多云	中等	较适宜	炎热	适宜	较不舒适	较适宜
20180701	20180702	西风 1级 	"['34℃', '23℃']"	阴	弱	不适宜	热	不适宜	很不舒适	不宜
20180702	20180703	南风 1级 	"['28℃', '21℃']"	大雨	很弱	不适宜	舒适	不适宜	舒适	不宜
20180703	20180704	西南风 1级 	"['26℃', '21℃']"	中雨	很弱	不适宜	舒适	不适宜	舒适	不宜
20180704	20180705	西风 1级 	"['23℃', '20℃']"	中雨	弱	不适宜	热	较不宜	很不舒适	较适宜
20180705	20180706	北风 微风 	"['30℃', '21℃']"	多云	中等	较适宜	炎热	适宜	较不舒适	适宜
20180706	20180707	西北风 微风 	"['33℃', '22℃']"	多云	中等	较适宜	炎热	适宜	较不舒适	适宜
20180707	20180708	西南风 微风 	"['33℃', '23℃']"	多云	弱	较适宜	热	不适宜	很不舒适	较不宜
20180708	20180709	西北风 微风 	"['30℃', '22℃']"	小雨	弱	不适宜	热	不适宜	很不舒适	较不宜
20180709	20180710	西北风 1级 	"['26℃', '21℃']"	小雨	弱	不适宜	热	不适宜	很不舒适	较不宜
20180710	20180711	东风 1级 	"['26℃', '23℃']"	中雨	弱	不适宜	热	不适宜	很不舒适	较不宜
20180711	20180712	南风 1级 	"['28℃', '21℃']"	小雨	中等	较适宜	炎热	适宜	较不舒适	适宜
20180712	20180713	西南风 微风 	"['30℃', '22℃']"	小雨	弱	较不适宜	热	较不宜	很不舒适	较不宜
20180713	20180714	东南风 1级 	"['32℃', '23℃']"	阴	弱	较不适宜	炎热	较不宜	较不舒适	较适宜
20180714	20180715	南风 微风 	"['33℃', '25℃']"	阵雨	中等	较不适宜	炎热	较不宜	较不舒适	较不宜
20180715	20180716	东南风 1级 	"['35℃', '26℃']"	阵雨	弱	较适宜	炎热	不适宜	较不舒适	较不宜
20180716	20180717	北风 1级 	"['36℃', '25℃']"	阴	弱	较不适宜	炎热	适宜	较不舒适	较适宜
20180717	20180718	南风 1级 	"['36℃', '26℃']"	晴	中等	较适宜	炎热	适宜	较不舒适	较适宜
20180718	20180719	东南风 2级 	"['38℃', '27℃']"	多云	中等	较适宜	炎热	适宜	较不舒适	较适宜
20180719	20180720	南风 1级 	"['40℃', '27℃']"	阴	弱	适宜	炎热	较不宜	较不舒适	较适宜
20180720	20180721	南风 微风 	"['40℃', '28℃']"	多云	中等	较适宜	炎热	适宜	较不舒适	较适宜
20180721	20180722	西北风 1级 	"['39℃', '27℃']"	多云	中等	较适宜	炎热	适宜	较不舒适	较适宜
20180722	20180723	南风 1级 	"['40℃', '27℃']"	多云	很强	适宜	炎热	适宜	较不舒适	较适宜
20180723	20180724	西南风 1级 	"['40℃', '28℃']"	晴	很强	适宜	炎热	适宜	较不舒适	较适宜
20180724	20180725	南风 1级 	"['39℃', '26℃']"	晴	中等	适宜	炎热	适宜	较不舒适	较适宜
20180725	20180726	南风 1级 	"['39℃', '28℃']"	多云	弱	适宜	炎热	不适宜	较不舒适	较不宜
20180726	20180727	西南风 1级 	"['37℃', '27℃']"	阵雨	中等	较适宜	炎热	较不宜	较不舒适	较不宜
20180727	20180728	西南风 1级 	"['37℃', '26℃']"	阵雨	中等	适宜	炎热	较不宜	较不舒适	较不宜
20180728	20180729	东南风 2级 	"['37℃', '26℃']"	多云	中等	适宜	炎热	较不宜	较不舒适	较不宜
20180729	20180730	东南风 1级 	"['37℃', '26℃']"	多云	中等	较不适宜	炎热	较不宜	较不舒适	较不宜
20180730	20180731	东南风 1级 	"['35℃', '24℃']"	阵雨	弱	不适宜	炎热	不适宜	较不舒适	较不宜
20180731	20180801	西北风 2级 	"['34℃', '25℃']"	阵雨	弱	较适宜	炎热	不适宜	较不舒适	较不宜
20180801	20180802	南风 微风 	"['37℃', '26℃']"	多云	强	较不适宜	炎热	适宜	较不舒适	较适宜
20180802	20180803	南风 1级 	"['36℃', '25℃']"	阵雨	中等	适宜	炎热	较不宜	较不舒适	较不宜
20180803	20180804	东南风 1级 	"['39℃', '25℃']"	晴	中等	适宜	炎热	适宜	较不舒适	较适宜
20180804	20180805	南风 1级 	"['38℃', '25℃']"	晴	中等	适宜	炎热	较不宜	较不舒适	较不宜
20180805	20180806	西风 1级 	"['39℃', '26℃']"	晴	中等	较适宜	炎热	较不宜	较不舒适	较不宜
20180806	20180807	南风 1级 	"['37℃', '26℃']"	多云	中等	较适宜	炎热	适宜	较不舒适	较适宜
20180807	20180808	南风 2级 	"['39℃', '26℃']"	小雨	强	不适宜	炎热	适宜	较不舒适	较适宜
20180808	20180809	西南风 1级 	"['37℃', '27℃']"	晴	中等	较适宜	炎热	较不宜	较不舒适	较不宜
20180809	20180810	东南风 2级 	"['38℃', '26℃']"	多云	很强	适宜	炎热	适宜	较不舒适	较适宜
20180810	20180811	南风 1级 	"['38℃', '25℃']"	阵雨	中等	适宜	炎热	适宜	较不舒适	较适宜
20180811	20180812	南风 1级 	"['37℃', '24℃']"	阴	中等	较适宜	炎热	适宜	较不舒适	较适宜
20180812	20180813	东南风 1级 	"['36℃', '26℃']"	多云	中等	较适宜	炎热	适宜	较不舒适	较适宜
20180813	20180814	东南风 2级 	"['37℃', '25℃']"	多云	弱	较适宜	炎热	不适宜	较不舒适	较不宜
20180814	20180815	东风 1级 	"['36℃', '25℃']"	晴	中等	较适宜	炎热	适宜	较不舒适	较适宜
20180815	20180816	东南风 1级 	"['35℃', '25℃']"	多云	中等	较不适宜	炎热	适宜	较不舒适	较适宜
20180816	20180817	西风 2级 	"['33℃', '22℃']"	小雨	弱	不适宜	热	不适宜	很不舒适	较不宜
20180817	20180818	南风 1级 	"['32℃', '23℃']"	阵雨	弱	较适宜	炎热	较不宜	较不舒适	较适宜
20180818	20180819	东南风 1级 	"['34℃', '23℃']"	多云	强	较适宜	炎热	适宜	较不舒适	适宜
20180819	20180820	东风 1级 	"['35℃', '23℃']"	晴	中等	适宜	炎热	适宜	较不舒适	适宜
20180820	20180821	南风 1级 	"['36℃', '25℃']"	晴	中等	较适宜	炎热	较不宜	较不舒适	较不宜
20180821	20180822	东风 2级 	"['35℃', '24℃']"	多云	弱	不适宜	热	适宜	很不舒适	较不宜
20180822	20180823	东风 1级 	"['28℃', '22℃']"	阴	中等	较适宜	热	适宜	很不舒适	适宜
20180823	20180824	西风 微风 	"['31℃', '20℃']"	多云	很强	适宜	炎热	适宜	较不舒适	较适宜
20180824	20180825	西风 1级 	"['32℃', '22℃']"	晴	中等	适宜	炎热	适宜	较不舒适	较适宜
20180825	20180826	西南风 1级 	"['33℃', '23℃']"	多云	强	较适宜	炎热	适宜	较不舒适	较适宜
20180826	20180827	南风 1级 	"['34℃', '25℃']"	晴	中等	适宜	炎热	适宜	较不舒适	较适宜
20180827	20180828	东南风 1级 	"['34℃', '22℃']"	多云	中等	较适宜	炎热	适宜	较不舒适	较适宜
20180828	20180829	南风 微风 	"['34℃', '23℃']"	多云	很强	适宜	炎热	适宜	较不舒适	适宜
20180829	20180830	北风 微风 	"['35℃', '24℃']"	晴	很强	适宜	炎热	适宜	较不舒适	较适宜
20180830	20180831	东南风 1级 	"['35℃', '24℃']"	多云	强	较适宜	炎热	适宜	较不舒适	较适宜
20180831	20180901	东风 1级 	"['35℃', '25℃']"	多云	中等	较适宜	炎热	适宜	较不舒适	较不宜
20180901	20180902	西南风 1级 	"['35℃', '24℃']"	多云	弱	较适宜	热	较不宜	很不舒适	较适宜
20180902	20180903	西南风 1级 	"['31℃', '23℃']"	多云	弱	较不适宜	炎热	适宜	较不舒适	适宜
20180903	20180904	西南风 1级 	"['31℃', '23℃']"	多云	中等	适宜	热	适宜	很不舒适	较适宜
20180904	20180905	南风 3级 	"['31℃', '19℃']"	多云	很弱	不适宜	较舒适	不适宜	较舒适	不宜
20180905	20180906	西北风 1级 	"['23℃', '19℃']"	小雨	弱	较不适宜	热	适宜	很不舒适	适宜
20180906	20180907	东风 1级 	"['27℃', '17℃']"	多云	弱	适宜	舒适	适宜	舒适	适宜
20180907	20180908	西南风 3级 	"['27℃', '17℃']"	阴	很弱	较适宜	较舒适	较不宜	较舒适	较适宜
20180908	20180909	西南风 3级 	"['27℃', '17℃']"	阴	很弱	较适宜	较舒适	较不宜	较舒适	较适宜
20180909	20180910	西南风 3级 	"['27℃', '17℃']"	阴	很弱	较适宜	较舒适	较不宜	较舒适	较适宜
20180910	20180911	南风 2级 	"['28℃', '18℃']"	多云	强	较适宜	热	适宜	很不舒适	较适宜
20180911	20180912	南风 1级 	"['29℃', '20℃']"	晴	弱	较适宜	热	适宜	很不舒适	适宜
20180912	20180913	东南风 1级 	"['29℃', '20℃']"	多云	弱	较适宜	热	适宜	很不舒适	适宜
20180913	20180914	东风 1级 	"['24℃', '18℃']"	阵雨	很弱	较不适宜	舒适	较不宜	舒适	较适宜
20180914	20180915	南风 1级 	"['22℃', '15℃']"	小雨	很弱	不适宜	较舒适	不适宜	较舒适	较不宜
20180915	20180916	西南风 3级 	"['27℃', '17℃']"	阴	很弱	较适宜	较舒适	较不宜	较舒适	较适宜
20180916	20180917	东风 1级 	"['20℃', '14℃']"	小雨	弱	不适宜	舒适	适宜	舒适	较适宜
20180917	20180918	西南风 1级 	"['25℃', '14℃']"	多云	很弱	不适宜	较舒适	不适宜	较舒适	较不宜
20180918	20180919	南风 1级 	"['20℃', '16℃']"	小雨	很弱	不适宜	较舒适	不适宜	较舒适	较不宜
20180919	20180920	南风 1级 	"['20℃', '16℃']"	小雨	很弱	不适宜	舒适	较不宜	舒适	较适宜
20180920	20180921	南风 1级 	"['23℃', '13℃']"	阴	强	适宜	舒适	适宜	舒适	适宜
20180921	20180922	东风 微风 	"['26℃', '11℃']"	多云	强	适宜	舒适	适宜	舒适	适宜
20180922	20180923	西南风 微风 	"['26℃', '14℃']"	晴	中等	适宜	舒适	适宜	舒适	适宜
20180923	20180924	北风 微风 	"['25℃', '15℃']"	多云	很弱	较适宜	舒适	较不宜	舒适	较适宜
20180924	20180925	南风 1级 	"['25℃', '16℃']"	多云	很弱	不适宜	较冷	不适宜	较冷	较不宜
20180925	20180926	西南风 微风 	"['19℃', '15℃']"	小雨	强	较不适宜	炎热	适宜	较不舒适	较适宜
20180926	20180927	西南风 1级 	"['20℃', '14℃']"	阴	很弱	较不适宜	较冷	不适宜	较冷	较不宜
20180927	20180928	西南风 1级 	"['17℃', '8℃']"	小雨	中等	较适宜	舒适	适宜	舒适	较适宜
20180928	20180929	西南风 1级 	"['25℃', '10℃']"	晴	强	适宜	舒适	适宜	舒适	较适宜
20180929	20180930	西南风 微风 	"['26℃', '11℃']"	晴	很弱	较不适宜	较舒适	适宜	较舒适	较适宜
20180930	20181001	东风 1级 	"['23℃', '11℃']"	多云	中等	较适宜	较舒适	适宜	较舒适	适宜
20181001	20181002	东南风 1级 	"['23℃', '11℃']"	晴	中等	适宜	较舒适	适宜	较舒适	适宜
20181002	20181003	东南风 1级 	"['23℃', '9℃']"	晴	弱	较适宜	舒适	适宜	舒适	适宜
