user,date,eval,star,votes,content
瑞波恩,2019-01-17,推荐,4,8,算是这几年国漫的用心之作，画面五星，造型和场面四星，故事三星，煽情部分扣一星，总之看国漫与日漫或美漫的标准不一样，因为国漫充其量只是个幼稚的孩子在学习走路，本片揉杂了迪士尼《小美人鱼》与吉卜力《千与千寻》，生搬硬套的嫌疑不小，但成效整体超预期，有惊喜，也有遗憾，老套的煽情，片尾的《新白娘子传奇》音乐又莫名其妙，而从彩蛋看来还会有《白蛇：后传》，野心不小，最后成佛或成魔，可以期待一二。
人五,2019-01-16,推荐,4,9,是好看的，看哭了。
深夜声咽,2019-01-14,推荐,4,11,中午场，没想到还挺多人的，只是我又迟到了，四十分钟手动捂脸表情，从师父说师父说什么进场，几乎错过一半了，罪过罪过，感觉自己近来越来越不尊重电影了对不起！不过片子感觉真不错(加深愧疚感)，没有错过洞穴吻戏船戏斗法，肉感做得不错，小白.腰..侧乳…不错不错看得蛮羞耻的喜欢…如果有续集：缘灭，一定好好继续支持走起。那只汪哈哈哈可爱，小青有点小失控，男猪最会找生门，生门一说指阴道。今晚我必须恢复跑步了。
海哈哈,2019-01-12,还行,3,6,"人生在世，苦多乐少，所以要记住经历过的美好。或许就是因为先有了这句话，才有了这个故事，可也正是因为太想要表达这个主旨，导致故事很假，人为雕琢的痕迹极强。前五分钟，画风精美，水墨画融合山水，让人一下子沉浸在故事里，可是随着倒叙剧情的开始，故事就开始走偏，为了剧情的矛盾冲突，导致人物情感极其淡薄，以至于两人在塔内相拥入眠，显得极其突兀。中间往后的剧情，可以看到太多片子的影子，赵灵儿和李逍遥，锁妖塔，兑换宝物，倩女幽魂等等，让人出戏的同时，也明白创作者想表达的想法，但就是会太刻意。即便如此，看到这部片子，还是会觉得国漫依旧在进步，需要类似的推陈出新，鼓励。"
蒜 | BOY A✎,2019-01-15,还行,3,17,都被《新白娘子传奇》的BGM感动了，还不如多看两遍《新白娘子传奇》，大家对国产动画真是太宽容了，对纯爱故事太向往了，用近两年最贵的一张电影票支持国产动画，尽力了
第七大陸,2019-01-13,还行,3,14,青蛇+奇门遁甲+仙剑奇侠传。几处细节禁不住推敲，水墨风也只是昙花一现，最恐怖的莫过于国师要练到飞升却目的还是赢回皇帝的宠爱。最喜欢宝青坊的戏。
发条橙,2019-01-11,还行,3,9,华纳注资，中美合拍，助力追光动画文体两开花，安排！美轮美奂，颇具匠心的视觉效果，并将传统的好莱坞叙事模式成功嫁接到中国民间耳熟能详的奇幻故事中。虽有瑕疵，但至少能看出其努力的方向，不论立意还是制作，都算是追光动画的顶峰水平了。按这个路子继续拍下去，还可以在破产的边缘挣扎一翻，继续加油哦，国漫之光？！
荔枝超人,2019-01-15,较差,2,25,这是小白还是小倩？？（甚至有不少元素跟动画版《小倩》是雷同的）编导大概是抓到了几个teenager观众会喜欢的点，其余就东搬西凑也没所谓了，大段大段的打戏和莫名其妙的“动人爱情”实在太儿嬉。PS谢谢你们没有做成3D发行。
苏大,2019-01-20,较差,2,14,新酒装旧瓶，剧情过于简单了，实在是不敢恭维。除此之外，男主和胡歌明明就是一个模子里刻出来的，非说是令狐冲，这种像某人又不能是某人的擦边球把观众当弱智的把戏什么时候能够停止。国漫雄起，国漫雄起，从大圣归来就开始喊的口号到现在还没雄起，利用爱国情怀卖票，不敢苟同。
又春总猜,2019-01-17,还行,3,12,说实话真的觉得很一般
山下河里美,2019-01-14,力荐,5,10,重标，4.5星改5星，个人年度十佳不解释，想象力瑰丽如梦，简单整理比较有意思的几个改编点/片段：1、反派佛教变道教，太阴真君的招魂幡、千纸鹤、修罗法阵、面纱拂面的毁容弟子；2、宝青坊狐妖千年身体少女面孔，烟斗印章宝青制造，细节感人。3、一身软胄的青蛇盘身佛像掌中拈发带笑，还魂张曼玉《青蛇》。4、片尾彩蛋一定要看，期待续集。
张隐,2019-01-13,还行,3,11,可以让形象设计总监少看点网红视频，锥子脸大长腿的看多了没啥好处。
徐若风,2019-01-19,推荐,4,5,"在追光上一部《猫与桃花源》后，我曾说“事不过三，与它决裂”，所以这部拖了那么久才去看。但令人颇感意外的是，它几乎是我认知范围内，登上院线的国产商业主流三维动画里的最佳作品，是真正的行业顶尖，甚至放在国内都已经不具备可比性。如果说《大圣归来》之流算“分水岭”，那么这部简直就是一步极大的飞跃。
从模仿徐克的改编思路出发，这部电影不仅是一个紧凑、有趣的故事，善恶观模糊中又带着笃定的人物塑造，最厉害的是呈现了精致之余、非常扎实的美术世界里的奇幻唐朝，尤其是在“修葺木塔”这一建筑物的细节还原、宝青坊的奇观展示这两块，完全是教科书级别。可惜，情感线索的铺垫不够充分。"
冬不贰,2019-01-13,还行,3,14,这么好的技术，就不能好好打磨一下剧本？
子午寅丑,2018-12-27,较差,2,12,《新白娘子传奇》+《青蛇》+张纪中版《神雕侠侣》+《狄仁杰》+《画江湖不良人》+《仙剑》……一次“致敬”这么多作品，导演可真不容易
朽木立夏黑猫酱,2019-01-12,推荐,4,17,事实证明无论什么版本的白蛇传，男主永远不顶事，这一版的人设更是一言难尽，成了一个行为逻辑判断力都欠费的莽夫，小青则传承了《青蛇》里善妒的小性子。许宣很胡歌，小白很鞠婧祎，道长很陈坤。各种场景时常唤起我对经典华语古装电影的记忆，蛇族首领一秒钟出戏到《倩女幽魂》，国师团队则出戏到“东厂”。可能是追光动画场面最恢弘制作最精良考究的作品，也能感受到尽力在去贴合成年观众的观影槽点和趣味，导演就像里面的角色一样，非常的撩。可惜剧情其实乏善可陈，后半段努力在让矛盾与冲突变得复杂曲折并凄美感人，然而还是落入窠臼。回到杭州那一瞬感到我国景色真美。人设的脸部美漫CG感太强烈，且男主表情空洞无神得可怕。这部电影可以让非直女观众对男主吐槽很久。
Vision Rich,2019-01-13,力荐,5,17,应该是今年最好的国产动画电影啦！制作精良，选题巧妙，音乐 美术 布景 人设 都很好，最后还玩一波情怀加分，美中不足的是人物表情不够生动，情节简单，转折略带生硬等等，但瑕不掩瑜～如果有人想看可以陪ta二刷哦～
蕭肅川,2019-01-11,较差,2,21,差强人意，逻辑都给奇观让路了，宝青坊和大决战的视效是有亮点，但是作为爱情故事是不合格的。一月院线虽有些乏力，不过想达到当初《大圣归来》的影响力应该很难。
梦里诗书,2019-01-10,还行,3,12,追光动画在国产动画的高品口碑并没有衰落，《白蛇：缘起》在视觉上有着一如既往的细腻唯美，但面对一个其实本就拥有国人皆知为奠基的蓝本原型，其仍旧还是没能一改自身剧情上的弱势，那薄弱的剧情，以及脸谱化的人物，都使电影虽然为一个老旧的经典焕发以新机，但却难谈多少惊艳可言。
诸葛若见,2019-01-16,推荐,4,2,前世延续今生，愿纠缠。为伊变成妖怪，又何妨。水墨画风精致，如乐章。作为白蛇前传，故事还算精彩，虽还有小缺陷，但总算比追光前几作动画剧本好多了。狐狸那段剧情最有趣。构图有张力，细节很讲究。小白有点像花木兰，许宣造型神似仙剑胡歌。部分情节致敬《青蛇》和《新白娘子传奇》。
陈少侠,2019-01-12,力荐,5,21,三度落泪，十分好评。好久没看到这种催泪电影了，尽管前面节奏稍快但瑕不掩瑜。把情爱与历史结合，讽刺了政治和社会，增加了整部片子的厚重感。适合在电影院里看的片子，画面无可挑剔。许宣对小白说，无论何时，有我在。看到这一段的时候，我内心汹涌，多么想对某个人也这样说，无论何时，有我在。
半江瑟瑟,2019-01-13,力荐,5,38,"看前：迪士尼脸
看后：目不暇接的动作和反转，特别是宝青坊真有想象力，好像汉代画像石，真香。"
大瘦瘦,2019-01-19,还行,3,3,话说五百年前，圣上求长生，神仙们打架，国师谋私利，苛捐杂税，民不聊生，底层互害，同性情谊难以维系，爱情也因身份而无法善终，我不要下辈子成精，我要现在就不做人了，但即便我做不成人、变成妖怪你们也都不放过我，区区草民唯有一死望投胎能经历个美好的时代
无非🏳️🌈,2019-01-12,推荐,4,9,除了脸有点僵之外画面一流，美轮美奂；故事杂糅了白蛇传仙剑奇侠和屌丝白富美类爱情故事以及玄幻武侠。白蛇和男主角滚完床单就要和他断绝关系，说人妖殊途，给人感觉是他床上活不太行哎；狐妖暗示取元神时候也要顺便阉割下体，后排的女生惊呼了一声What the fuck！笑点基本来自宠物狗。以上。
zts,2019-01-11,推荐,4,16,可能是国产动画在工业制作上达成的新高度，东方神话还是本土的创作者更难把握其精神内核，故事上把白蛇传改编的比较成人向，BE也在意料之中；追光动画一连几部电影下来几乎都在亏也是挺心疼的，希望这次票房能好一点吧
皮蛋瘦肉粥,2019-01-03,还行,3,20,有国风有蛟龙，却少了一份厚重；有情也有欲，唯独没了一个真字。百年的道法、千年的爱恋化作水墨，化作断桥的一滴雨落在青簪上。说到头，反最喜欢那只撩人的双面小狐狸，勾足软语间数不尽的风情。
文,2019-01-11,较差,2,11,两分给视觉效果 故事核0分
羽小凉,2019-01-08,力荐,5,23,小门神我都打了四星啊，这我得打满星。虽然尬点也有，但是作为2019开年的国产（虽然还有华纳，但我就说国产怎么着），我觉得挺好的，场景非常美，随便截屏就很好看，人物细节表情到位，除了男猪长得有点磕碜（。）剧情简单之外还是有很多可取之处的~特别是青白，MD我真是嗑死了这对CP，太有感觉了，成人向动画，带娃慎重。
英年早睡,2019-01-11,较差,2,19,除了战斗场面的分镜与人物动作的捕捉做得十分好之外，基本上都是随便拿起来可以吐槽的。人物面部像打了玻尿酸苹果肌的杨天宝一样，所以就是动作很真人，整体上来就是一股违和感的假。还有一种大家已知的生物——蛇，怎么把它改成猫科动物了？摆出震慑状就靠吼？蛇是吼的吗天啊！剧情就更是槽点一箩箩，失忆就算了，为什么恢复记忆是因为看到一个跟自己毫无关系碑文？你要抛出仙剑赵灵儿的命题（妖是天生就注定要被消灭吗？）就算了，为什么立了命题接上的是滚床单？第一次使用会飞的伞就已经操作自如？一支发簪能支撑一个人的重量？被吸光法力的小青是如何逃离最后那个阵的？打完boss才清小怪这个逆操作我也是服！篇幅有限不一一尽数，整体来说，这是一部不合格的电影。
为虾米呀,2019-01-11,还行,3,9,美国负责技术，中国负责奇门遁甲飞仙道升？  故事搓了点，但最后的巨大“彩蛋”有点酷 
北海道 花系,2019-01-16,还行,3,5,能看到制作组的诚意，但是如果说是“国漫之光”，那还是言过其实。女主建模明显的网红脸，蛇精脸（锥子脸），审美疲劳，但是毕竟她确实是一只蛇精，好像也没什么问题。男主角有点像胡歌。风景不错，剧情一般，成人向动画，新白娘子传奇前传，转折有些突兀。
Acid,2019-01-21,较差,2,5,这个剧本我给-1星，场景给3星，不过为什么这样的烂片在豆瓣评分能到8，各种强拉硬扯的凑剧情和莫名其妙的自我高潮以及自以为是cue到了的流行梗。还有国产动漫有个特点就是路人角色绘制的都非常丑，不管主角还是配角都双目无神
正弦大波,2019-01-13,力荐,5,13,"追光的第四部片，一直和部分前同事有些联系，也因为前几部作品对这个公司的未来发深深担忧。中国CG动画到了这个时代，虽然部分作品表现亮眼，但观众对于影片颗粒度的sense还是非常低，大部分成人对于动画更是天然抵触。很欣喜的是，经过5年的打击，追光终于物色出了一套具有商业价值的艺术作品模型。《白蛇：缘起》无论是从受众对于IP的了解、对于国漫的信心加固再到整个电影的完成度、故事的叙述，都化繁为简，一气呵成。虽然已经离职4年，也不再在电影行业工作，但心中的电影梦一直冉冉不灭，也因为这样优秀的作品而重燃内心炽热复杂的情绪。尽管这部电影的票房可能没法那么理想，也非常祝福追光这一路收获的成绩。""嘲讽、坍塌到重建都是人生，追逐内心的光。”P.S. 从现在开始，动画档类终于值得我单独建一个“追光""的标签了。"
胡二,2019-01-15,推荐,4,4,3.5星，新白娘子传奇前传，低配版李逍遥跟陶奕希版白蛇，狐姐跟橘里橘气的小青是亮点，背景美如画，故事有点低幼，二蛇斗小道场景不错，boss最后的黑化猝不及防，期待下一部《白蛇：缘灭》
憨大仁,2019-01-12,推荐,4,6,女主咬唇妆估计是许多妹子的教科书级示范啦
周冲,2019-01-04,力荐,5,15,好看到爆炸。
鲁大师,2019-01-15,较差,2,13,剧情太水
L+,2019-01-11,力荐,5,21,良辰美景奈何天
五节之君,2019-01-14,还行,3,9,"设定有心了。永州之野的捕蛇人，晚唐的道教崇拜和求仙背景以衔接白蛇本传500年后的故事时代。
但故事还是讲的太简单，总的来说就是唐人的早期仙侠剧风，依旧执着于人妖之别。其实既然做了成人向不如在故事上花点力气。虽然不喜欢许仙的懦弱，可男主魔改鸡汤恋爱脑也是吃不消。主人公的情感互动变化，情节转折都太生硬，配角又过于脸谱化和前后不一致。作为反派出现的国师和蛇母智商太低逻辑简单，又不扛打。
人物画面虽然感觉花了不少钱，可远景还行特写细节不够。场景也很真实好看，宝青坊的设定尤为精彩，但总体来说还是比较粗糙的网游风。人类走路的姿势诡异,动态镜头又晃得太厉害，感觉无形的画外音一直在说“我真的用心了快夸我”。而且小白的脸为什么捏得那么像杨超越2333
这是第三次吃八组安利失败，下次一定要谨慎再谨慎。"
瑾羲Qing,2019-01-11,推荐,4,23,可以无缝对接《捕蛇者说》。加上前传这个故事，突然我又喜欢上了《白蛇传》，曾经觉得许宣懦弱又负心，加上这一段，突然就变成了，两个人在爱情里为了对方都曾奋不顾身。无论他在世间何处，无论他还记不记得，我都要找到他，因为我记得。很美很美的故事，穿插的古琴声，很有韵味。还有对经典新白娘子传奇的致敬很可爱呀。小白太美太美了，青蛇是爱着白蛇的。片尾水墨画的白蛇传故事很有意思。就说一定会有八卦出现滴，国师你是阿灭的远房亲戚吗？就感觉最后到了杭州怎么画面突然变粗糙了……？二刷的我在仔细研究小白的发型是怎么梳的，感觉是可以实现的那种。然后脑内循环着青城山下白素贞，啊～～～
去见你想见的人,2019-01-13,力荐,5,13,惊艳，值回票价!画风上来说我第一时间想到的是接近《秦时明月》，场景和人物都做得很逼真，打斗设计的很精彩，没有做成3D版可惜了。故事内核还是老故事，但是也有创新，我看到了500年前许宣对小白的痴情，犹如杨过对小龙女般痴情。无论你是蛇是妖，哪怕你变成白巨蟒，我爱你如初；你说，你我人妖殊途，注定不能在一起，那我就自愿出卖自己的精元，化为最低等的妖精，这下好了，我也是妖怪了，小白你没有理由甩掉我了。天罗地网，生死瞬间，我以单薄的身体替你挡住飞来巨石，而你，在最后拼尽全力用法器留住我的魂魄。五百年后，西湖断桥之上，许仙追上去说“姑娘，你的发簪掉了”，小白回眸，情意绵绵地说“谢谢官人!”😊😊😊
披着人皮的鬼,2019-01-11,推荐,4,14,多给一分 鼓励外更多的是期许 人物面部细节动作虽然有进步但也肉眼可见的巨大进步空间 希望在现有的技术上 中国能趟出一条独立于大厂尤其皮克斯外的东方审美
鹿菏,2019-01-16,力荐,5,12,影片得出来主创的用心和诚意，团队不卖惨情节不作妖老老实实讲完一个故事，虽然有些地方太牵强但是瑕不掩瑜，片头的水墨效果异常惊艳，山水风景也都很好看，小白很美许宣竟然是耐看型哈哈哈哈，值得二刷！
维雪魂,2019-01-11,推荐,4,15,运镜够出色让人眼前一亮。剧本说不上多优秀，但尽力做到细节丰富，完成度够高，真的很让人意外。华纳动画这些年弄了那么多，没想到除了乐高系列外这部是最好的。
山水烟花,2019-01-13,力荐,5,15,"国漫的新高度。—你有什么不想做但不得不做的事情吗？
—就算命数有定，也要活的自在

—我的法力都被吸光了
—这下你再也推不开我了

人妖殊途，我就成为你好了。一晌欢情，护你一世周全。船头孤舟，浮生若梦。

上一次看这样的上古爱情故事掉眼泪，还是很久很久戏说的蚩尤和西陵珩了。"
汤圆看电影,2019-01-11,推荐,4,14,好看，既有中国古风的飘逸清雅，又有美式的简约伶俐；故事的创新也好，有旧的看点还有新的主题；不过，有些画面稍微有些不适合小不点儿呦！
不野,2019-01-16,力荐,5,11,我还想看宝青坊老板娘的片
6600,2019-01-18,很差,1,7,？就这能8分，道德绑架名不虚传
蜉蝣,2019-01-13,还行,3,2,一会儿古韵一会儿灾难片的画风以及古装高开衩露大腿的造型，看得人很分裂。新编的故事充满拼贴感。对战节奏紧凑超过预期，但依然摆脱不了你大我更大的直观视觉对比，多用点技能交代不行吗？总体值得鼓励！
kylegun,2019-01-18,力荐,5,5,Mary Popping蒲公英，妖塔福利嚼完松，青白百合杀无赦，星座斗阵生死别，双面萝莉怪奇工坊最高！“打妖打了那么多年，日子为什么越来越糟呢？”……《小倩》的非典型续集，开篇情感铺垫略生硬，后面怪力乱神恶趣味出来后越来越赞
Jerry,2019-01-14,推荐,4,7,看到白蛇把阿宣睡完就转身抛弃时，本以为她是个拔*无情的渣女。怎料看到后面，才发现她还有个千年备胎小青。原来是个白蛇婊…
晚不安,2019-01-23,推荐,4,1,3.5。暂列追光最佳。一些少儿不宜的段落已经宣告了这部动画摆脱低幼向的决心（误。《白蛇：缘起》最终达到的，就是《风语咒》费尽心思想要达到的。虽然很大程度上依赖的是这个家喻户晓的故事，但对情怀的运用是恰到好处、画龙点睛的。爱情线的铺展以及剧情演进都很仓促，然而场景渲染和动作设计确实是业内标杆级的。第一个令我怔住的场面是宝青坊，简直有刘姥姥进大观园的感觉。结尾大战阵势不小，试图做出双高潮，但实际上有点冗长，解决问题缺乏合理性。整体细想，还是有佳句无佳章。
michaelchao_cc,2019-01-11,推荐,4,11,剧作上原版故事的许仙和白娘子的情被弱化，人妖法师之间的战斗被强化。这可能是由于故事创新的时候很难平衡情感与战斗，或者说战斗没有很好地融入情感，二者有一定分离。电影在制作定位方向偏向了游戏，运用了法宝、破阵等方式推进了剧情。动作设计中也借鉴了哈利波特、古剑奇谭中对决的元素。但是，总体来说，影片的完成度还不错，原作中白蛇、小青、许仙三个人的微妙关系在这部中得到了很好的保留，白蛇与许宣的相遇相恋也有及格水平的展现，没有过于拖沓的情节，法器的作用前后呼应，最后通过前世今生的牵绊过度到了西湖断桥边的相遇。推荐能接受白蛇传改编的人看。
唐小万,2019-01-14,还行,3,4,以情动人很勉强吧，被激情冲昏了头脑还差不多，只有最后的“彩蛋”，功劳还是《白蛇传》的。
陈矮,2019-01-11,还行,3,10,总觉得导演有什么不得了的见解要发表
一郁知秋,2019-01-11,力荐,5,23,"世间多的是两条腿的恶人，长了条尾巴又如何？！
不忘前世，共约今生。
中国的古代文化真的有太多值得拍的故事了。
"
一颗荔枝子,2019-01-13,很差,1,6,漫画版悲伤逆流成河
麻辣香水鱼,2019-01-20,推荐,4,4,值得一看，超喜欢，画面和感情线都好美的。
不见蝴蝶不见君,2019-01-12,力荐,5,22,爆炸好看啊，大家去支持下票房啊，颠覆的一版许仙宣，剧情没有那么完美但是绝对不薄弱，但是建议不要带孩子看，不合适。
坐好我要起飞啦,2019-01-15,较差,2,6,画面很美，配音老师辛苦。一星画面，一星配音。神仙剧情，随时都要谈恋爱。哪管那洪水滔天，天地八荒，三生三世，只为你一个回眸。牛笔！
没啥可说啦,2019-01-21,很差,1,9,编剧太偷懒了吧，剧情推进很是“理所当然”，明显剧本没有好好磨。真实给2.5星，一星只为去一下水分，别说什么严格不严格的，因为票价是向国外动画片看齐了，而质量就🙂……8分真的虚高了。
mysticark,2019-01-19,推荐,4,2,画面和音乐都做得非常不错。剧情上存在未解释清楚的地方，中期转折后的情节显得有些混乱。不过对于国产动画来说，这已是值得肯定的一部作品了。
○Ⅴ○,2019-01-12,力荐,5,7,前世的许仙透着一股迷人的侠气、目睹白蛇真身后痴心不改，不惜化妖；并且在每个副本中出心出力，很多时候起到了关键性作用。这个“许宣”强行篡改了今生许仙的人设，可是也弥补了许仙全部的不足，满足了观众对大男主的期待。至少我对这个改动相当满意。美术和画面也值得称赞，每帧都可以截成桌面。
Squidward,2019-01-20,还行,3,5,国产动漫真的太爱构建一个庞大的世界观 然后无可避免的不是顾此失彼就是解释不好 用大托小在我这不是很讨喜反正 被吹过头了 期望自然高 观感无可避免的差 口型有硬伤 蛇皮的材质也太闪太滑了 看到最后我的眼泪依旧不值钱
夜间飞行,2019-01-14,很差,1,4,李逍遥的造型适合任何古装片乃至…动画片
青青雫崎,2019-01-13,推荐,4,15,中國動畫片就得這麼拍，除了男女主的愛情動作戲有點突然，值得稱讚的是諸位配角，每個都活靈活現的⋯⋯
T.V.Zoe ி,2019-01-20,还行,3,4,故事没讲通 也就那样吧  挺花心思挺认真 但还是一股子我最讨厌的国产动画的网游味儿  女主是按着陶奕希捏的吧  男主是按着单眼皮金城武捏的吧 但这种差距就像「青城山下白素贞」一起 才觉得正版上线了
讽辞阿嘎,2019-01-11,力荐,5,17,"五百年前你叫小白
他叫许宣
缘起五百年
缘续五百年
前世今生
生生世世
今生你叫白素贞
他叫许官人
PS：中美合作，故事主线、画面风格超级出色。爱情、打斗、妖术、五行、萌宠、CP等元素全有了。
期待更多中国民间传说、神话故事焕发新光芒"
phoebe,2019-01-04,未打星,-1,4,画面意境完全没问题，但这个老套的故事……
turbine,2019-01-05,还行,3,8,总感觉宝青坊主小狐妖似曾相识，最终恍然大明白，三国杀董白！
parachute,2019-01-14,较差,2,17,尬死我了。
晓风明月,2019-01-15,还行,3,8,画面值得肯定，但是剧情是硬伤，配音也不行，太尬了，俗套，完全不能让我有代入感。这部电影很多方面都让我感觉有模仿泰坦尼克号，包括男女主身份地位差距大，包括男主性格还有最后男主保护女主的一幕，和泰坦尼克号太过类似，然而画虎不成反类犬，它不能像泰一样让我感动，只能说导演和剧本功力还差很多。而且男主这样的人设照理说会很吃香，可是整部电影看下来我只觉得男主是个傻X，时时刻刻都在装逼，越装逼越傻X。不过电影刚开始女主梦境的水墨风很让人惊喜。和心里预期差的有点多，看完明白了票房不行不是没有理由的，追光要是再不用心打磨剧本emmm，还有，可不可以请好一点的配音啊。最后，多给一星算是支持国产动漫电影吧。
张苑希,2019-01-21,还行,3,1,美术设计和视效场面的确精致唯美，但这种俗气的一见钟情网文式爱情实在让人吃不消，剧情薄弱节奏沉闷转折生硬，基本上可以当做白蛇传的前传看。ps.不管在任何有关白蛇的作品里青蛇对白蛇的感情才是最真挚的啊！
Camellias,2019-01-21,很差,1,6,爆米花电影，比变形金钢5还不如。一年都看不来几部烂片的我这次也算走眼了，被宣发忽悠进了影院。
乌鸦火堂,2019-01-20,推荐,4,2,追光动画最好的作品，其实也是被安利才看得，因为追光之前的作品全看了，对他们家有点灰心了，所以才刚看，还好终于起势了。画质不必多说，追光一贯的高品质，道具、场景设定是东方神韵，特效场面则是偏于西方。故事难得顺畅了一次，也很动人，结尾致敬断桥白娘子。台词一般，女角色人设都很好，男性角色相形见绌。许宣像胡歌，小白更像邱淑贞，小狐妖貌似圈粉无数
喵喵喵,2019-01-13,力荐,5,17,讲真，在结尾之前，应该是4星，但是片尾熟悉的音乐响起，泪又不争气流下来〒_〒，全场都一直坐着没人走……好吧居然有彩蛋……我还以为都是跟我一样听歌的……
在下李慕白,2019-01-11,力荐,5,23,“世上多的是两条腿的恶人，你多一条尾巴又怎样？” ，小时候看出的是其中的爱情，现在看来最打动的人的是其中困扰着无数人的身份认同了
WallE,2019-01-18,较差,2,11,捕，捕蛇者说？男主脸就是一般武侠剧男主的脸，女主脸就是网红脸，看一次忘一次。剧情乱七八糟，毫无逻辑可言，除了画面精致，优点乏善可陈，所谓成人电影不是女性裸露身体，说话吊嗓子就是成人电影。带着期待去，看到一半只想刷手机。
空山,2019-01-15,还行,3,5,"1.追光，仍然战斗在浪费团队和技术的第一线。发下毒誓，绝不做出好故事，谁先做出来谁TM是王八蛋。
2.前40分钟，精力主要用在对抗角色面瘫、眼神空洞、口型混乱、硅胶质感、漂浮不定所带来的不适。后一个小时的打戏真好看。师父的大锅饭练功法也有点意思。
3.确实成人向，裙子开叉到大腿根、衣衫撕破露出半圆乳房，还加了亲热戏。最可怕的是宝青坊老板娘，孩子身形，袒胸露腿，很不适啊！所有的性相关成人内容都令人不适。"
乌青,2019-01-19,较差,2,9,都2019年了还比不上1983年的《天书奇谭》十分之一水准。这弱智剧情，谈何国产惊喜？
噗,2019-01-20,较差,2,5,虚无的“中国古风”外壳与日本ACG亚文化杂交的怪胎，里面大量的星宿、八卦等常用的中华古典文化符号并不具备真正意义，只是用来填补动画空洞内涵好让其看起来是在弘扬深奥传统文化的遮羞布。一如片中人物说着矫揉造作的“古风”台词营造出的“古韵”，是虚假的、当代的、流行化的，如此看来便更加可恶了。人物与场景画风也不复早年国产动画的写意缥缈，受美国和日本动画以及网络游戏的影响极深，无论是主角们缺乏辨识度的“美型”人模、卖弄性感的萝莉童姥，还是“唯美”的高饱和场景建模都漫溢着塑料质感，以这样的美学去讲述最传统的中国故事是不可接受的。而在故事层面，也泯灭了中国动画最注重的含蓄美与留白，毫无铺垫且直白的情感表达和打怪升级般的游戏发展彻底损毁了这部动画的内核，廉价到无法使人感动。（对了，配音演员表现也很差劲）
recallair,2019-01-21,较差,2,7,"这片子有些无聊啊，剧本也弱，最大的问题：人物与环境缺乏互动，这就使得再美丽壮阔的环境想象也终究只是背景贴图而已。
不反对电影贩卖情怀，但首先你质量得要过硬啊，说句大实话，这片子技术上挺糙的，渲染缺乏细节，整体网游质感非常重。（还是国产网游，外国的网游CG做的可美了）"
贾小年,2019-01-19,推荐,4,1,开头和结尾太过惊艳，以至于可以忽略掉故事推进中的一些中二元素。（希望反派人物塑造可以更立体一点
birds,2019-01-17,还行,3,1,比之大圣强很多，视效很花，故事昏昏欲睡。
Yukip,2019-01-05,推荐,4,8,在国漫里水准算不错的，让我想到了去年的风语咒，其实算还可以的，多加一星支持一下! 
[已注销],2019-01-11,力荐,5,16,画面很精致，水墨风格极其唯美。人物性格鲜明通俗易懂，故事是白蛇传的前篇，相当于原创剧本。是一部值得推荐的好电影。
向简,2019-01-08,推荐,4,1,老故事已经板上钉钉，能发挥的并不多，角度好，在＂当年救了我＂的孔隙中凿出大情节。把许宣和白娘子写成了杨过和小龙女，致（借）敬（用）泰坦尼克号结尾的点睛之笔。千回百转让人怀念的永远是相遇和相爱阶段（前相处时代）。叙事并不输于花木兰和功夫熊猫之类，主流但不乏味，巧妙回答了＂美色在爱情中地位＂的天问，可以看作爱情寓言——因美色而起，凭痴心续航。髪簪是信物，记忆是信仰，梦是点题。人往往这样：初看美梦，觉得自己也行，于是自命不凡、嘲笑俗事；然后自己成了俗事，反过来笑美梦幼稚。成为俗事是必然，但分主动沦陷和被动沦陷；有的人弄潮很享受，有的人弄潮很被动；最惨的是不想弄也弄不好潮但只能被漩涡甩得七荤八素不人不鬼的人，这些人看到当初的美梦，除了内心一声惨叫，又能如何！呜呼！
海狸狸狸,2019-01-17,推荐,4,0,画面很美，特效很好，故事也很不错。果然是中美合拍，能看出来美国电影的影子啊，哈哈。并不是给小孩子看的动画片噢！最后还无缝衔接《新白娘子传奇》啊。
